"name","freq"
"Farmers Market","8"
"Patisserie/Cake Shop","8"
"Social Clubs","8"
"Bistros","7"
"Cheese Shops","7"
"Irish Pub","7"
"Laotian","7"
"Outlet Stores","7"
"Performing Arts","7"
"Piano Bars","7"
"Resorts","7"
"Specialty Schools","7"
"Adult Entertainment","6"
"Art Galleries","6"
"Convenience Stores","6"
"Cooking Schools","6"
"Home & Garden","6"
"Scandinavian","6"
"Scottish","6"
"Swimming Pools","6"
"Airports","5"
"Antiques","5"
"Country Dance Halls","5"
"Flowers & Gifts","5"
"Fruits & Veggies","5"
"Gas & Service Stations","5"
"Hobby Shops","5"
"Kids Activities","5"
"Local Services","5"
"Macarons","5"
"Museums","5"
"Organic Stores","5"
"Wedding Planning","5"
"Acai Bowls","4"
"Adult Education","4"
"Books","4"
"Cafeteria","4"
"Candy Stores","4"
"Champagne Bars","4"
"Czech","4"
"Day Spas","4"
"Ethic Grocery","4"
"Florists","4"
"Hostels","4"
"Mags","4"
"Music & Video","4"
"Paint & Sip","4"
"Personal Chefs","4"
"Pets","4"
"Wineries","4"
"Zoos","4"
"Animal Shelters","3"
"Appliances","3"
"Bavarian","3"
"Botanical Gardens","3"
"Building Supplies","3"
"Car Wash","3"
"Coffee & Tea Supplies","3"
"Cultural Center","3"
"Curry Sausage","3"
"Escape Games","3"
"Furniture Stores","3"
"Health & Medical","3"
"International Grocery","3"
"Kebab","3"
"Party Supplies","3"
"Special Education","3"
"Sri Lankan","3"
"Tobacco Shops","3"
"Tours","3"
"Arts & Crafts","2"
"Baby Gear & Furniture","2"
"Bookstores","2"
"Burmese","2"
"Coffeeshops","2"
"Comedy Clubs","2"
"Department Stores","2"
"Dinner Theater","2"
"Distilleries","2"
"Drugstores","2"
"Egyptian","2"
"Electronics","2"
"Empanadas","2"
"Gay Bars","2"
"Home Decor","2"
"Indonesian","2"
"Izakaya","2"
"Leisure Centers","2"
"Musicians","2"
"Nail Salons","2"
"Nicaraguan","2"
"Playgrounds","2"
"Pool Halls","2"
"Pub Food","2"
"Public Services & Government","2"
"Puerto Rican","2"
"s Clothing""","2"
"Security Systems","2"
"Singaporean","2"
"Speakeasies","2"
"Ukrainian","2"
"Videos & Video Game Rental","2"
" ""Men","1"
" ""Women","1"
"Accessories","1"
"Airport Lounges","1"
"Aquarium Services","1"
"Aquariums","1"
"Armenian","1"
"Art Classes","1"
"Art Schools","1"
"Austrian","1"
"Bangladeshi","1"
"Bartenders","1"
"Bed & Breakfast","1"
"Bingo Halls","1"
"Cosmetics & Beauty Supply","1"
"Couriers & Delivery Services","1"
"Custom Cakes","1"
"Dance Schools","1"
"Discount Store","1"
"DJs","1"
"Doctors","1"
"Donairs","1"
"Drive-Thru Bars","1"
"Dry Cleaning & Laundry","1"
"Festivals","1"
"Fitness & Instruction","1"
"Food Tours","1"
"Fur Clothing","1"
"Furniture Repair","1"
"Gift Shops","1"
"Golf Equipment Shops","1"
"Guest Houses","1"
"Hair Salons","1"
"Haitian","1"
"Hong Kong Style Cafe","1"
"Horseback Riding","1"
"Hotel bar","1"
"IT Services & Computer Repair","1"
"Japanese Curry","1"
"Landmarks & Historical Buildings","1"
"Local Fish Stores","1"
"Mini Golf","1"
"Mobile Phone Repair","1"
"Nutritionists","1"
"Pan Asian","1"
"Pet Services","1"
"Pet Stores","1"
"Pilates","1"
"Popcorn Shops","1"
"Post Offices","1"
"Preschools","1"
"Printing Services","1"
"Professional Services","1"
"Recreation Centers","1"
"Religious Organizations","1"
"Screen Printing","1"
"South African","1"
"Souvenir Shops","1"
"Sports Clubs","1"
"Stadiums & Arenas","1"
"Themed Cafes","1"
"Tiki Bars","1"
"Toy Stores","1"
"Uzbek","1"
"Vacation Rentals","1"
"Vape Shops","1"
"Walking Tours","1"
"Wigs","1"
"Wine Tasting Room","1"
