"name","freq"
"Golf Equipment Shops","1"
"Hair Extensions","1"
"Hair Removal","1"
"Hair Stylists","1"
"Hiking","1"
"Home Decor","1"
"Hong Kong Style Cafe","1"
"Hospitals","1"
"Hostels","1"
"Jewelry","1"
"Kitchen & Bath","1"
"Milkshake Bars","1"
"Mountain Biking","1"
"Paint & Sip","1"
"Pan Asian","1"
"Pediatricians","1"
"Personal Chefs","1"
"Pita","1"
"Playgrounds","1"
"Post Offices","1"
"Puerto Rican","1"
"Reunion","1"
"Shanghainese","1"
"Skin Care","1"
"South African","1"
"Sports Clubs","1"
"Sri Lankan","1"
"Trinidadian","1"
"Waxing","1"
"Wraps","1"
"Yelp Events","1"
