"name","freq"
"Modern European","16"
"Resorts","16"
"Cantonese","14"
"Karaoke","13"
"Arcades","12"
"Belgian","12"
"Brazilian","12"
"Beer Gardens","11"
"Brasseries","11"
"Chicken Shop","11"
"Shopping Centers","11"
"Social Clubs","11"
"Szechuan","11"
"Turkish","11"
"Automotive","10"
"Food Court","10"
"Health Markets","10"
"Filipino","9"
"Peruvian","9"
"Tea Rooms","9"
"Car Dealers","8"
"Fashion","8"
"International","8"
"Lebanese","8"
"Outlet Stores","8"
"Party & Event Planning","8"
"Performing Arts","8"
"Smokehouse","8"
"Waffles","8"
"Bubble Tea","7"
"Ethiopian","7"
"Fondue","7"
"Hot Pot","7"
"Live/Raw Food","7"
"Malaysian","7"
"Persian/Iranian","7"
"Portuguese","7"
"Amusement Parks","6"
"Cinema","6"
"Cuban","6"
"Farmers Market","6"
"Food Stands","6"
"Meat Shops","6"
"New Mexican Cuisine","6"
"Pool Halls","6"
"Poutineries","6"
"Tacos","6"
"Beer Garden","5"
"Chocolatiers & Shops","5"
"Food Trucks","5"
"Gelato","5"
"Jazz & Blues","5"
"Kids Activities","5"
"Pasta Shops","5"
"Swabian","5"
"Afghan","4"
"Airports","4"
"Bowling","4"
"Donuts","4"
"Fruits & Veggies","4"
"Piano Bars","4"
"Russian","4"
"Beauty & Spas","3"
"Bistros","3"
"Day Spas","3"
"Do-It-Yourself Food","3"
"Falafel","3"
"Festivals","3"
"Florists","3"
"Flowers & Gifts","3"
"Indonesian","3"
"Irish Pub","3"
"Local Services","3"
"Mongolian","3"
"Poke","3"
"Polish","3"
"Scottish","3"
"Street Vendors","3"
"Tuscan","3"
"Ukrainian","3"
"Arabian","2"
"Argentine","2"
"Art Galleries","2"
"Basque","2"
"Books","2"
"Country Dance Halls","2"
"Delicatessen","2"
"Department Stores","2"
"Dominican","2"
"Education","2"
"Gas & Service Stations","2"
"Gay Bars","2"
"Hobby Shops","2"
"Home & Garden","2"
"Home Services","2"
"Hookah Bars","2"
"Hungarian","2"
"Kebab","2"
"Kosher","2"
"Laotian","2"
"Macarons","2"
"Mags","2"
"Mini Golf","2"
"Moroccan","2"
"Museums","2"
"Music & Video","2"
"Patisserie/Cake Shop","2"
"Real Estate","2"
"Scandinavian","2"
"Seafood Markets","2"
"Shanghainese","2"
"Singaporean","2"
"Swimming Pools","2"
"Teppanyaki","2"
"Tours","2"
"Venezuelan","2"
"Wedding Planning","2"
"Whiskey Bars","2"
"Wigs","2"
"Zoos","2"
"Adult Entertainment","1"
"Art Classes","1"
"Arts & Crafts","1"
"Bangladeshi","1"
"Bavarian","1"
"Bookstores","1"
"Botanical Gardens","1"
"Bulgarian","1"
"Butcher","1"
"Cafeteria","1"
"Cambodian","1"
"Candy Stores","1"
"Coffeeshops","1"
"Colombian","1"
"Cooking Schools","1"
"Cultural Center","1"
"Czech/Slovakian","1"
"Dinner Theater","1"
"Dry Cleaning & Laundry","1"
"Egyptian","1"
"Ethic Grocery","1"
"Ethnic Grocery","1"
"Farms","1"
"Golf","1"
"Hong Kong Style Cafe","1"
"Hostels","1"
"International Grocery","1"
"Internet Cafes","1"
"Kitchen & Bath","1"
"Nicaraguan","1"
"Nurseries & Gardening","1"
"Palatine","1"
"Pan Asian","1"
"Pick Your Own Farms","1"
"Pop-up Shops","1"
"Pretzels","1"
"Professional Services","1"
"Public Services & Government","1"
"Puerto Rican","1"
"Pumpkin Patches","1"
"RV Parks","1"
"Salvadoran","1"
"Shaved Ice","1"
"South African","1"
"Specialty Schools","1"
"Sri Lankan","1"
"Stadiums & Arenas","1"
"Tiki Bars","1"
"Tobacco Shops","1"
"Travel Services","1"
"Videos & Video Game Rental","1"
"Wholesale Stores","1"
"Wineries","1"
