,stars,text,category,predict
95,1,Une soirée gâchée. J'étais à la recherche d'un bon steak house et je suis tombé sur cet endroit qui est un genre de casa grec en plus mauvais encore. J'ai eu le malheur de choisir un plat de moules. Le cuisinier (dans une tentative de faire une mauvaise blague?) avait foutu une salade par-dessus les moules pour ensuite les faire gratiner avec fromage fêta. Le tout donnait un mélange raté qui ne ressemblait à rien de connu sur cette planète. Ma bien-aimée à eu droit à une brochette de bœuf accompagnée de frites tièdes. Le tout pour une facture de 70$. Le décors est une mauvaise imitation de ranch entremêlé des restants de l'ancien resto qui devait être portugais à juger par les peintures aux murs. C'est vraiment n'importe quoi !,6424,4
96,1,"Langsam verzweifele ich an der Stuttgarter Gastronomie! Das Besitos konnte an jenem Mittwoch abend überhaupt nicht überzeugen. Der Laden gut gefüllt, aber nicht voll. Der Service hatte Arbeit aber keinen Stress. Es dauerte 20min, bis eine sehr gelangweilte Kellnerin desinteressiert uns entdeckte und unsere Bestellung aufnahm. Das Besitos war nicht in der Lage innerhalb von 20min uns wenigstens die Getränke zu servieren. Das Pärchen am Tisch neben uns war vor uns da und bekam seine Getränke, als wir gegangen sind. Nach mindestens 40min!!!",8162,5
99,1,"They have clearly no ethics, and have no idea how to run a business. Sadly, they are wasting the huge opportunity of this amazing concept.",2458,5
101,1,"Can I give zero stars? Went about 6 months ago, new to Yelp. Extremely expensive food for what you get. Granted you know the healthy food diners will cost more but really? $9.99 for three multi-grain pancakes with only two strawberries sliced 10 ways to give appearance of more? Menu photo showed blueberries, strawberries, and bananas! After receiving my order that was obviously missing a great deal, I walked up to menu board on wall. In small print description I read only strawberries mentioned. After tax and tip we're talking $13 for three multi-grain hot cakes with two strawberries? And yes, I tip knowing it isn't employees fault the owners boards are misleading.  Felt scammed and never going back.",134,5
103,1,"Time for someone to tell the truth about the Duce. Before today, even I had given it 3 stars because I wanted to give it a chance. No more.

The Duce gets one star for numerous reasons: 

1. In an effort to be retro-cool, its beer list is comprised exclusively of crap you would drink at a dive bar in Chicago, in the 1970s. And I can appreciate that, and even favor it. But at least offer us a choice. This is the American West. Many of us will drink PBR once in our lifetimes for kicks, conclude that it tastes like carbonated piss (which it absolutely does), and promptly go back to our Kiltlifters and Fat Tires. 

2. I live in the neighborhood, just blocks away from Chase Field. I am 100% judgmental of baseball fans who live here but cheer for any visiting team, and rest assured that I'm in very good company as a downtowner. Anyone in tune with how our city works knows that this is a major pet peeve of its long-time residents. So, I can only conclude that the Duce is out of tune with us on this point, too: it advertises itself as a venue friendly to *another* team in the National League that I refuse to name here. Strike 2.

3. A friend texted me not too long ago to say that he and his girlfriend were in my neighborhood to check out the Duce on a Saturday morning, and would I care to join them for breakfast? Before I could answer, I got another text: ""wtf! It's closed!"" The Duce has horrendous, laughable hours. Right now it doesn't even bother opening on Mondays, Tuesdays or Wednesdays at all. On the 4 days of the week it's open, it still shuts down at 10 pm on two of them, and even earlier on Sunday. Therefore, I have no reason to go there to enjoy what should be the cool bar scene. (Setting aside its atrocious beer selection.) 

As much as I initially liked the concept of the Duce as described by its owners in the media, it has been poorly executed from what I've seen so far. Get rid of the anti-Dbacks status, create a better bar situation for people to enjoy in terms of drink selection and hours, and it might stand a chance in the long run.",2820,3
104,1,"Well we didn't get to actually eat here because the hostess wouldn't seat us. I had promised my kids a treat from Carlos' Bakery but the line was huge, so we decided to get a table here instead & have dessert & drinks. It was around 3:30 & as it was between lunch & dinner the restaurant was mostly empty. The hostess informed us that since we weren't actually eating a meal she couldn't seat us at a table reserved for people who were eating a meal.  Hmmm, in a mostly empty restaurant. We would have had a few cocktails each as well as desserts, & we always tip well because regardless of how much or little we eat, the staff still has to do their job. So I guess my one star rating is for the hostess. Maybe we'll be back some day...",3966,3
108,1,"I used to come here to gamble on their slots and have some luck.  Lately,  I've had no luck at all, so, not going to give them my business anymore.  It's a shame because I live nearby, but, got tired of walking out a loser every time.",4388,5
117,1,Unreal! Showed up only to have some nitwit little teen roll her eyes when my partner kissed my cheek. Seated us then no one even came to take a drink order after ten minutes waiting and it wasn't that busy. I guess if you are some knuckle dragging bigot this is a good place for cheap crappy food...I'll be taking my GAY money elsewhere.,356,4
118,1,If you choose to go with the mexican side of the menu its disgusting. Everything is slop on a plate. No one should come here and pay these prices.,4490,5
121,1,"AVOID the surf and turf option!!! That $20 is exactly like everything else on the menu, too good to be true! My wife and I got this and it turned it to be two chunks of meat, literally two chunks of meat on an onion ring!

Overall, it was a very overpriced meal!",590,4
123,1,"order a large pepperoni pizza, nothing special. huge slices but it was sooo greasy, even folding our pizza the toppings would slop off. So gross.",3992,3
128,1,"Bout as low quality pizza as you can get, but it definitely can serve a quick, greasy pizza fix if you need one. 

They have a drive thru so you can literally drive off with an 800 calorie greasy square slice of pizza for $4.50 in under one minute. It is probably best to go around peak times so it'll be fresh (or to ask which slices are most recently cooked).",5892,4
131,1,So loud!  Got indigestion from this pub who's trying to be a restaurant with pricy limited menu. Would not recommend unless you are 21-25 years old.,5592,4
133,1,"Food was great but what happened?! Service started off amazing then plummeted. No matter how the food is, it's not worth being treated like that. Will never be going back.",3959,5
140,1,"Used to be good... But they changed owners and even their names are changed.

None of the dishes we ordered are up to par... the usual Kenny's Noodle's qualities.

I would not go back there!",5955,4
143,1,Th avocado burger gave me food poisoning. It looks like other people have had issues with the meat being expired before. I will not be going here again.,1740,5
144,1,"I'd definitely skip this place I your in any sort of rush, with your children or both.  in the evenings it appears as though they have a robust staff of two people working.  Which apparently means they need to make one order at a time.  I'm not looking for fast food at a place like this, but 45 minutes for pasta?

After posting this, it turns out they FORGOT to make my food and bring it to my table...BRAVO !",1391,4
152,1,"I went here for dim sum and it was pretty awesome! A couple months later as I'm getting my home renovated, I recommended this place to my general contractor.  He looked at me with disgust and stated that he did repairs at this restaurant and when he went up to the attic it was INFESTED with Rats!!! The attic isn't part of the health inspection and he said he has seen a few other restaurants with the same issue.  I will not be eating here again.",2015,4
154,1,"Merry-Ann's Diner is a truck stop style 24 hour breakfast diner. Unfortunately, Merry-Ann's is not very good. I can't recommend it.

Merry-Ann's menu, decor and layout, and overall look and feel, are identical to that of a Waffle House franchise. I suspect that this diner was designed to duplicate the successful Waffle House model. 

All of the menu items, from the coffee, eggs, and omelets down to toast and sweet rolls, are poor, although some items are a notch better, namely mediocre. 

Service is roughly comparable to that of other Waffle House stores. Ditto for the decor, and, in fact, the actual floor layout.

Prices are low in absolute terms but they are somewhat high for the types of menu selections offered, quality aside. (And the quality delivered is mostly poor.)

Before the Hilton-Garden Inn took over the property across the street, there was a well-regarded breakfast restaurant, almost a Champaign institution, attached to the property. The Hilton razed the restaurant as part of its renovation. Too bad. The Merry-Ann Diner is not suitable for breakfast at any time of day.",1513,3
155,1,The bartenders here are just down right unfriendly. We are locals. Most of us in the business. Lighten the hell up. I've tried three or so times and I have given up. I'll take my money elsewhere.,2966,5
158,1,"First to review, now the last.
Stopped by to see Hiro and Shige at ""Shiro Sushi"" last night and there is a note on the door.

""Couldn't make it through the slow times"".

Too bad.
Hopefully we will find them elsewhere soon.
TJ",8082,4
163,1,"I didn't get to eat here, so I can't comment on the food, but we were seated at 4pm on a quiet Sunday. Sat for 25 minutes, tried to flag down a server. Nada. We walked out and went and ate at Culver's down the road. (We were hangry after driving 500 miles without a meal.)

Also witnessed an employee go out for a smoke break and then go back to work without stopping to wash her hands. Yuck.",2593,5
164,1,"Considering it's in a strip mall in the parking lot of a Super Target, I entered The Flying Hound with low expectations. But hunger and a crunch for time will make any place worthy of a try. Quite honestly, a stop at the Target food counter would've been more satisfying (albeit more shameful). The interior is decorated with some World Market prints and beer signs to make it feel like a faux pub. A thin veneer without anything to show underneath it. This carries forward to the food. The ""signature"" (their words) pork schnitzel sandwich was completely underwhelming. Evidently they lost the ""pounded thin"" aspect of schnitzel in translation. What I received was basically a breaded boneless pork chop accompanied with a slice of halfway melted muenster cheese and wilted arugula. The house onion gravy that accompanied it was separated by the time it came tableside. The sandwich was completely devoid of any flavor.  My daughter went with the grilled cheese. On paper, a combo of muenster and cheddar with a roasted garlic spread sounds solid, but sadly this isn't paper and the sandwich was nothing to write home about. The accompanying fries were undersalted and bland. 
Yes, I know that the under represented southwest side of Madison is in need of a regular ""go-to"" place for good drink and food. There isn't much around nearby and they are desperately in need. But sadly, The Flying Hound comes nowhere close to delivering  They are counting on convenience of proximity to bring in the crowds. This might work for awhile but it's not a recipe for long term success.",6822,3
170,1,"Great customer service, but the food was a bit lacking. After a few bites of the mac & cheese, I realized it was a bit sour and couldn't finish it. I got slightly ill later that night. Seems like a cool place, just be careful what you choose.",6990,4
174,1,"Very expensive. I didnt like the place, the waiter started to rush the floor while we were eating. Pizzas not really good.",6548,4
177,1,"Hmm, why did Yelp remove the plethora of one-star reviews for this horrid ""sushi bar""? Overpriced, bad quality fish, nasty, watered-down drinks, slimy owner. GO TO WASABI if you want good sushi, good service, and reasonable prices. AVOID THIS $***hole at all costs.",4274,5
194,1,"This place refused to participate in the $1 promotion today, made a lot of people angry.
Local news channel said they couldn't get on their website so they tweeted their corporate office, they replied all locations will participate!
Cheapskate owner I guess.",7404,5
197,1,"Well they listened to everyone's complaints.  Good bye foot long dogs, hello dogs that fit the bun.  My Cincinnati dog was forgettable.  Chilli tasted canned and the dog was unremarkable.  Definitely not impressed.  The staff did not seem organized at all.  Love to support local business but with quality and service like this and with cookout across the street we probably will not be back.",3731,4
205,1,"Closed! Finally!  Bad beer, always slow and old games. Let's hope something good goes in.",4866,4
208,1,"Clean restaurant and food was good.
I was enjoying my dinner.
The server bring my order(Ikura,Salmon roe) spoiled my evening.
""Do you eat this? Yak! I can not believe it!""
Yes,she was serving my food with this comment.
I will not go back there when she is serving.",8069,4
209,1,"Das Essen ist an manchen Tagen sehr lecker, kann aber auch mal ein Reinfall sein. Je nachdem wie die Person hinter der Theke eingearbeitet wurde, oder in welcher Tagesverfassung sich diese befindet.

Stuttgart-Mitte ist inzwischen ziemlich zerschlissen und dreckig. Die Möbel brauchen dringend eine Renovierung, vor allem in der Sitzecke hinten sind alle Kissen aufgeplatzt und einfach unhygienisch und abgesessen.

Seit neuem gibt es jetzt auch Vapiano Peoble. Eine Art Bonusprogramm, mit dem nach jedem 10 Besuch das 11 Gericht gratis ist. Da hierbei aber nur die Besuche gezählt werden und nicht die Gerichte, ist dieses Programm einfach nur Familienfeindlich und nichts für Kunden mit Kindern. Das macht jeder Pizzalieferservice besser.",3915,5
215,1,They forgot my fork so I had to eat a cinnamon melt in the car with my bare hands. Not recommended.,1717,5
216,1,"Full disclosure:  We went there in the middle of a 110 degree day.  The atmosphere was cool though.  With that said, the soda was warm, the service was slow, and the food was poor... at best.  We saw one of those food shows that highlighted this places macaroni muffins, which were ""good"", I should add.  We also ordered their hot dog and the sliders.  You could easily make a better hot dog with a package of store brand hot dogs and a microwave.  The sliders weren't bad; however, the bread was stale.  So if you're looking for warm drinks, slow service... but a cool atmosphere, this is your place.  If your'e going at night, don't go alone... cruddy neighborhood.",2820,3
222,1,This place was alright until it was stuck with some woman who messes up/loses every order thrown at her. AVOID this place.,3268,5
224,1,"We got a table for 2 on the friday night just before the dinner hour rush. We didn't have reservations but we were given a table anyways. 

However, shortly after our orders were taken we were approached by one of the waitresses. She said that we ""go outside"" once we are done.  She spoke in broken English so I won't blame her for her choice of words but the fact is she asked us to leave once we were finished our meal even though we showed no intentions of lingering. We just finished ordering! 

The pasta was very average. The fries are the only reason to be here. 

The service was slow...  When you ask me to hurry up my meal, maybe you should do your part and hurry up your service.",2400,3
230,1,Good burgers and service but not spectacular. Both my son and I had the fish and chips last time both ended up getting sick. Burgers are good but I won't go back. Patio is nice and the place is clean.,5806,4
232,1,"I wish they would get good management as it has great potential. They are always out of things, and they recently took the Carolina barbecue loaded fries off the menu, one of the best food items they have. This place has quickly gone down hill since opening and it is a shame. I will not be back unless they get it together! I mean they were out of Dr. Pepper , that is ridiculous.",1791,5
236,1,Lied about having no tables when they saw my teenagers and let the next group in with no reservation . Rude host as well.,5592,5
239,1,"Ich habe schon lange nicht mehr so schlecht gegessen.
Filetspitzen Stroganoff haben wir bestellt.
Es kam gewürfeltes Fleisch,verkocht an Gewürzketchup.Ganz grausam!!
Die Nudelsuppe als Vorspeise war lauwarm.
Nie mehr in dieses Restaurant!
Guido aus Ebersbach",3537,5
240,1,"I was very dissapointed with the flavors of the meals and the $$$$. I think the only positive is the buddha bread and eggplant dip. 

It is very hard to get a reservation between 6:30-7:30 pm , as most people want to enjoy the sunset view.

Overall - an expensive place with great ambience minus great flavor!",1383,4
242,1,Mix of chinese and mexican food and missed the mark on both.  Another example of why companies should keep to what do best and do it right.  Nasty asian food.  Nasty mexican food.  Both way over priced.,677,5
247,1,"This place changed from paradise bakery to a Panera bread company. I didn't frequent Paradise often, but had been enough times to know it was solid in the things I ordered. My wife and I both felt incredibly underwhelmed with the food we got for lunch. The Mediterranean vegetable sandwich consisted of tomatoes, lettuce, cucumbers with a couple of crumbles of feta. The tomato soup is not close to what paradise had and isn't a worthy substitute. The garden vegetable soup was not tasty and neither was the Fontega chicken panini. 

Skip this place. Not worth the trip.",7523,4
248,1,"Bottom line- if you like EDM music, hanging with cool, fun people this place is not for you! Crappy generic hip hop music, wayyyyy to crowded to even move!! Stuffy snobby people everywhere. Definitely not a place to even be able to interact with your friends! Would never go back- way too many other clubs that are ten times better in Vegas!",969,5
251,1,Disgusting! This place serves over seasoned food that you get way overcharged for. Don't come here!,677,5
252,1,"The standards at this location have been on a steady decline.  My usually favorite cookie dough flavored Master Blast has been made with dried out nuggets of cookie dough.   Who wants to bite into pellets of dried out chalky dough??  And our Oreo Blasts have not properly mixed and left with a hollow center on a regular basis.  At times we find bits of other flavors on our blast indicating that they obviously aren't completely cleaning their equipment from the last customer order.  C'mon Sonic, keep your game tight.

For Blasts done right, the one at 3431 N. Ranco Drive is worth a stop.",5430,5
256,1,I dont know what the big whoop is about the place. The line is always insanely long. Prices are not that cheap and the food is bland and greasy. Compared to hometown buffet id rather eat at home town. Last night I was goung to try golden corral again until I saw the line was wrapped around the buildong going into the parkong lot. (Insane) I went to RedLobster instead and it was absolutely delicious. SKIP Golden Corral bland and not worth a wait.,5753,3
258,1,"I was craving oysters on a Thursday night. Went to Shuck's because it was nearby my house and had dollar oysters special on Thursdays which is all they had going. Came in, sat down and I asked if they still had dollar oysters. Sadly, waitress informed us that it's $1.50 now. I looked at the menu and it's actually cheaper by 5 cents if you order a dozen from the menu. Had the oysters here before and it was hit or miss, some were way too small. Food price is overinflated. Food is just meh, for the price not worth it. Much rather go to seafood buffet or oyster bar at palace station at least you're getting your money's worth for way much more delicious seafood. Never again will I come here.",1549,5
261,1,"Place is creepy.  Random homeless people wandering around.  You'd probably get murdrerd if you got out of your car.  Also, the girl working the drive thru window was a total bitch she slammed the window on me.  I ended up getting the hell out of there.  I will never go back!",7631,5
262,1,What Steven G. says!!! They suck (except for the great waitress!) I'm still fighting my credit card charge with them! Justice will triumph!!!,1158,4
264,1,"Came back tonight cos, well I'm stupid.

Ordered take out. As I was waiting, the sushi chef prepared another customer's order and not once, but twice, ate some of the fish out of his fingers and then proceeded to continue preparing the sushi without washing his hands.

Spicy salmon maki with a side of saliva. 

Gross. Definitely not coming back now.",4095,5
270,1,"The food tasted really well. There's a huge selection of different hot dogs with varying toppings not to mention the wide assortment of poutines. I tried the Coney Dog that included the homemade chili, onions, and mustard, but I substituted the beef hot dog for a turkey sausage which made for a great combination. 

I was still a little hungry and contemplated ordering the poutine but decided to keep it 'somewhat clean' so I ordered a beef hot dog without the bun. That's when it all went downhill from there. The grill man, who was also preparing the toppings on the hot dogs and was preparing the poutine with his hands, picked up the washroom key to hand to a customer and then proceeded to work WITHOUT replacing his gloves. 

I'm sorry but I personally handle any washroom key with triple paper towel after washing my hands. This gentleman, who's the cook and food handler at this establishment, has a responsibilty to adhere to the most basic hygiene practices comsidering his role in a kitchen. But no, the clear gloves are just for show, touch the washroon key, then proceed to touch food with your hands as usual.

I seldomly write reviews, am typically very easy to satisfy, and am usually not phased by any sort of nonesense. But when it comes to health and hygiene, I'm sorry but there's no leniency in that regard. It's the most basic of human responsibilities, yet some just don't seem to get it. 

Would've gave this establishment 4 stars, instead, I won't even return. And will pass the information to others if I were to be asked for their own information. Someone may say it's just one bad seed, so don't be so hard on the establishment. Maybe they'd be right, however, it takes only one bad seed to leave a bad taste in your mouth.",2893,3
271,1,"A COCKROACH fell from the ceiling onto my plate as my companion and I sat there chatting after our meal!!!  

I'm a regular diner here having lived in Vegas for over 2yrs.  Usually I get the Bun Bo Hue (one of the best place in town for it) or the generous portions of Tai Nam. No matter how good the food taste, I am NEVER going back.  Definitely will call and notify the city's health department tomorrow.",7215,5
272,1,"Bad customer service, and very unaccommodating. My daughter is gluten free and they would make zero exceptions to their menu.",1370,5
273,1,Maybe that's what you get when a park tries to run a restaurant but man they move slow. Makes it not worth the effort and the view since it is so poorly run.,5324,3
275,1,"This is the stingiest location I have ever been to. I always order super nachos with no carne. The one in Gilbert told me to order Chips with Guac and add the beans, sour cream and Pico. It is $5 less that way. There is no reason to pay for the meat if I am not going to eat it. This location refuses to do it that way. So I get it in the side now and use it for omelette sin the morning. On top of the the portion size is half the size of other locations. I really hope they get new owners soon!",4481,5
282,1,"Staff has a real attitude from the front desk greeting   Someone takes your order someone else delivers. Not bad but no checking back.   Total disconnect I. This outstanding beautiful eatery.  
We won't bother with it again too many other together places around.  
We asked the hostess "" you must love working here in this beautiful place ?""  She replies "" it's ok "" 
We knew we were in trouble at the get go.    Ugh.",5478,3
284,1,"Be ready that the menu on their website and the actual menu will be slightly different!
Make sure that it's not a 'special day' when you can't order just couple of things you want and you have to order in bulk.",6230,5
288,1,"When placing your order, they write down your entire credit card number, billing zipcode, and house number.  Beware for identity theft!",6942,5
292,1,"Place is now closed and soon to be opened as ""Harvest""
Same owner ... hopefully it will be better.",3517,5
296,1,"Sorry Chino Bandido or should I say Chino Bad-Dido....I appreciate the concept - Chinese & Mexican food - I get haha - ha ... er well maybe I don't.  Maybe I'm being too harsh, don't get me wrong, I enjoy fusion dishes, but when you put my fried rice next to my refried beans and call it good; we have problems.  The decor? Well it's a warehouse that has fold-up tables and chairs all around.  What were they manufacturing?  Something they call Chinese-Mexican food, and you just happen to have your mouth open so enjoy!  I give it one star cause I like their mascot Mexican Panda!",5496,4
298,1,"I've heard great things about the dim sum here. Unfortunately I was unable to try it as, despite there being many empty tables on both floors of the restaurant, they refused to seat my party of 4 because they were ""too busy"". I've never been flat-out refused service at a restaurant before. So if you do decide to go check out the apparently legendary dim-sum here, perhaps call first and see if they're in the mood? :(",3388,4
300,1,They close at 12 am now instead of 2 am. Of coarse they haven't bothered to change the time on their website even though according to the hostess the new closing time changed two weeks ago.,174,5
302,1,Total Shit. Charged us $13 cover and then no seats for us. Will never come here again.,5224,5
303,1,"THE PLACE IS CLOSED!!!  wild goose chase and a $25 cab ride.  Thanks yelp, for being up to date!",133,5
308,1,Don't order the Cuban press. Had to take it back. What little meat there was so tough I couldn't chew it. Skimpiest sandwich ever for $10?!?!,3570,5
